,0,1,2
706,Forest Trends,84.22,3
707,Capital Area Immigrants Rights Coalition,94.88,4
708,WomenHeart: The National Coalition for Women with Heart Disease,78.72,2
709,Environmental Working Group,99.54,4
710,Sudan Relief Fund,72.01,2
711,Vital Voices Global Partnership,90.34,4
712,Center for Food Safety,80.0,3
713,LIFT,79.02,2
714,International Association for Human Values,100.0,4
715,American Friends of Lubavitch,57.48,1
716,Center for Economic and Policy Research,96.56,4
717,Amazon Conservation Association,87.5,3
718,Electronic Privacy Information Center,100.0,4
719,PeacePlayers International,100.0,4
720,Afterschool Alliance,93.04,4
721,ActionAid USA,84.69,3
722,Migration Policy Institute,91.49,4
723,Youth Orchestra of the Americas,79.94,2
724,American Constitution Society for Law and Policy,91.04,4
725,ABC² (Accelerate Brain Cancer Cure),63.67,1
726,Public Knowledge,90.29,4
727,American Cancer Society Cancer Action Network Inc,74.11,2
728,Center for Global Development,97.38,4
729,AAUW - American Association of University Women,73.84,2
730,APhA Foundation,83.88,3
731,Jewish Women International,87.5,3
732,Washington Performing Arts Society,75.68,2
733,For Love of Children,73.29,2
734,Ford's Theatre Society,93.94,4
735,The Wilderness Society,82.03,3
736,National Council of Negro Women,95.95,4
737,B'nai B'rith International,53.52,0
738,Defenders of Wildlife,82.63,3
739,Americans United for Separation of Church and State,74.69,2
740,Society for Science & the Public,96.21,4
741,Carnegie Institution for Science,86.07,3
742,American Forests,81.22,3
743,American Association for the Advancement of Science,89.31,3
744,The Brookings Institution,78.92,2
745,Legal Aid Society of the District of Columbia,94.28,4
746,American Red Cross,85.53,3
747,Columbia Lighthouse for the Blind,70.92,2
748,Alexander Graham Bell Association for the Deaf and Hard of Hearing,85.4,3
749,Middle East Institute,98.82,4
750,The Phillips Collection,84.75,3
751,"Planned Parenthood of Metropolitan Washington, DC",88.67,3
752,Society of the Cincinnati,92.95,4
753,Daughters of the American Revolution,67.34,1
754,Smithsonian Institution,85.15,3
755,National Trust for Historic Preservation,76.96,2
756,Population Reference Bureau,95.0,4
757,American Enterprise Institute for Public Policy Research,88.13,3
758,Central Union Mission,80.89,3
759,Humane Rescue Alliance,89.6,3
760,Resources for the Future,80.88,3
761,National Parks Conservation Association,79.9,2
762,The Humane Society of the United States,65.75,1
763,"Little Sisters of the Poor of Washington, DC",93.16,4
764,Boys & Girls Clubs of Greater Washington,79.92,2
765,League of Women Voters Education Fund,66.51,1
766,National Consumers League,88.58,3
767,The John F. Kennedy Center for the Performing Arts,94.66,4
768,Arena Stage,85.43,3
769,National Gallery of Art,86.66,3
770,Junior Achievement of Greater Washington,81.71,3
771,Alliance for Aging Research,88.81,3
772,American Battlefield Trust,94.24,4
773,Center for Public Integrity,78.6,2
774,Women in Government Foundation,75.55,2
775,National Environmental Education Foundation,86.25,3
776,The Trinity Forum,86.75,3
777,Golisano Children's Museum of Naples,88.63,3
778,Florida Breast Cancer Foundation,96.43,4
779,Florence Fuller Child Development Foundation Inc.,93.77,4
780,Alaqua Animal Refuge Inc.,100.0,4
781,Burger King McLamore Foundation,97.7,4
782,American Association of Kidney Patients,79.25,2
783,The Shawn Carter Foundation,83.22,3
784,Ronald McDonald House Charities of Southwest Florida,79.25,2
785,Israel Cancer Association USA,92.5,4
786,Clothes To Kids,97.5,4
787,Parkinson Research Foundation,60.0,1
788,Cat Depot,96.58,4
789,Conservation Foundation of the Gulf Coast,100.0,4
790,ShelterBox USA,89.28,3
791,JAFCO,93.05,4
792,Ocean Research & Conservation Association,66.37,1
793,COPD Foundation,86.84,3
794,Wounded Warrior Project,81.14,3
795,Clinics Can Help Inc.,100.0,4
796,Zion's Hope,67.81,1
797,Firehouse Subs Public Safety Foundation,100.0,4
798,Take Stock in Children Palm Beach County,90.64,4
799,Hope Helps,84.09,3
800,EOD Warrior Foundation,83.0,3
801,Big Brothers Big Sisters of America,82.78,3
802,The Greater Naples YMCA,91.61,4
803,Boys & Girls Clubs of Palm Beach County,95.0,4
804,"Youth Haven, Florida",99.64,4
805,Air Force Enlisted Village,81.91,3
806,South Florida Wildlife Center,85.0,3
807,Sarasota Opera,84.8,3
808,Teen Missions International,100.0,4
809,Suncoast Humane Society,65.8,1
810,Special Olympics Florida,86.22,3
811,Missionary Flights International,80.0,3
812,St. Petersburg Free Clinic,97.5,4
813,International Game Fish Association,61.05,1
814,Clinic for the Rehabilitation of Wildlife,93.38,4
815,ECHO,91.41,4
816,Florida Sheriffs Youth Ranches,79.1,2
817,"Police Athletic League of Jacksonville, Inc. ",86.37,3
818,Florida Studio Theatre,96.01,4
819,Girls Inc. of Sarasota County,95.14,4
820,Friends of WLRN,76.07,2
821,Crosswinds Youth Services,86.22,3
822,Furkids Animal Rescue and Shelters,90.0,4
823,ACS Products Inc,74.11,2
824,Lewy Body Dementia Association,85.11,3
825,Atlanta Police Foundation,96.85,4
826,CARE,84.02,3
827,American Cancer Society,74.11,2
828,American Friends of the Israel Democracy Institute,92.47,4
829, United Methodist Committee on Relief of Global Ministries,96.18,4
830,The Southern Education Foundation,91.54,4
831,Boys & Girls Clubs of America,88.97,3
832,Foundation for Economic Education,84.75,3
833,The Drake House,99.17,4
834,Rally Foundation,97.5,4
835,Communities of Coastal Georgia Foundation,93.48,4
836,Calcutta Mercy Ministries,64.42,1
837,Jack and Jill Late Stage Cancer Foundation,97.27,4
838,The Carter Center Collaborative Inc.,95.06,4
839,She is Safe,82.58,3
840,"LEADership, Education and Development",67.61,1
841,The Empty Stocking Fund,81.07,3
842,Special Olympics Georgia,88.05,3
843,The Mailbox Club,82.31,3
844,C5 Youth Foundation of Georgia,78.98,2
845,Georgia Mountain Food Bank,91.53,4
846,Herobox,67.51,1
847,Broadway Dreams Foundation Corporation,77.05,2
848,New American Pathways,82.5,3
849,Pacific Buddhist Academy,81.32,3
850,Special Olympics Hawaii,90.01,4
851,Hawaii Public Radio,88.12,3
852,National Tropical Botanical Garden,89.29,3
853,Aloha Council Boy Scouts of America,84.32,3
854,Hawaiian Humane Society,96.12,4
855,Aloha United Way,88.79,3
856,YMCA of Honolulu,92.44,4
857,Honolulu Museum of Art,78.52,2
858,Honolulu Theatre for Youth,84.53,3
859,Bishop Museum,75.75,2
860,Hawaii Opera Theatre,71.41,2
861,The Institute for Human Services,87.04,3
862,East-West Center Foundation,81.55,3
863,Hawaii Foodbank,90.07,4
864,Make-A-Wish Foundation of Hawaii,83.8,3
865,Ronald McDonald House Charities of Hawaii,82.64,3
866,Maui Arts & Cultural Center,78.59,2
867,Hawaiian Islands Ministries,78.42,2
868,Hawaii Theatre Center,80.73,3
869,Japanese Cultural Center of Hawaii,66.51,1
870,Hawaii Community Foundation,90.92,4
871,National Kidney Foundation of Hawaii,68.21,1
872,Hawaii United Okinawa Association,0.0,0
873,Pacific Islanders in Communications,69.35,1
874,Maui Food Bank,92.34,4
875,PBS Hawaii,91.21,4
876,MA‘O Organic Farms,78.7,2
877,Lee Pesky Learning Center,87.37,3
878,The Luke Commission,97.5,4
879,The Peregrine Fund,87.52,3
880,The Sun Valley Center for the Arts,78.18,2
881,Special Olympics Idaho,83.62,3
882,The Hunger Coalition,100.0,4
883,"Boy Scouts of America, Grand Teton Council",78.02,2
884,Women's and Children's Alliance,100.0,4
885,Idaho Humane Society,93.01,4
886,Idaho Youth Ranch,78.47,2
887,Boy Scouts of America Mountain West Council,87.52,3
888,United Way of Treasure Valley,94.17,4
889,Mountain Humane,89.41,3
890,Idaho Botanical Gardens,87.76,3
891,Sunvalley Summer Symphony,77.91,2
892,Friends of Idaho Public Television,91.88,4
893,Idaho Foodbank,94.9,4
894,Swiftsure Ranch Theraputic Equestrian Center,81.0,3
895,Boys & Girls Clubs of Ada County,96.78,4
896,Higher Ground,89.23,3
897,Catholic Charities of Idaho,86.01,3
898,Idaho Conservation League,84.58,3
899,Wildland Firefighter Foundation,97.27,4
900,Ronald McDonald House Charities of Idaho,87.55,3
901,Dermatology Foundation,76.42,2
902,"American Lung Association, National Headquarters",95.0,4
903,Muscular Dystrophy Association,63.78,1
904,Alzheimer's Association,82.54,3
905,Alpha USA,86.67,3
906,Illinois Network of Charter Schools,88.28,3
907,Al-Furqaan Foundation,92.5,4
908,Pat Tillman Foundation,88.95,3
909,MetroSquash,84.08,3
910,Cradle Family Resource Centers,78.68,2
911,One Acre Fund,87.5,3
912,Operation Support Our Troops-America,93.68,4
913,Open Books,77.54,2
914,World Bicycle Relief,80.17,3
915,Imerman Angels,80.89,3
916,"Collaborative for Academic, Social, and Emotional Learning",88.28,3
917,Epic Academy,88.3,3
918,Cal's All Star Angel Foundation Inc.,94.05,4
919,World Sport Chicago,47.5,0
920,Mission Year,71.42,2
921,Bright Hope,78.65,2
922,"BUILD, Inc.",94.05,4
923,Special Olympics Chicago,87.72,3
924,Lions Clubs International Foundation,80.87,3
925,Illinois Valley Public Telecommunications Corporation,66.34,1
926,National Headache Foundation,79.33,2
927,Alliance For The Great Lakes,83.71,3
928,Hooved Animal Humane Society,77.84,2
929,The ARK Chicago,91.75,4
930,Chicago Volunteer Legal Services,77.8,2
931,The Conservation Foundation,94.4,4
932,Prevent Child Abuse America,90.0,4
933,American Brain Tumor Association,86.95,3
934,Save-A-Pet Adoption Center,87.54,3
935,LINK Unlimited Scholars,69.22,1
936,Neighborhood Housing Services of Chicago,70.71,2
937,Tree House Humane Society,69.7,1
938,Turning Pointe Autism Foundation,95.0,4
939,Advance Illinois,85.08,3
940,Foundation for Angelman Syndrome Therapeutics,100.0,4
941,Franklin News Foundation,66.98,1
942,Church World Service,80.0,3
943,Tony Stewart Foundation,78.7,2
944,SOZO International,79.4,2
945,The Mind Trust,100.0,4
946,Mission Pre-Born,100.0,4
947,Autism Spectrum Disorder Foundation,0.0,0
948,The Indianapolis Public Library Foundation,80.81,3
949,"Sports World, Inc.",54.61,0
950,FAME,74.24,2
951,Lake Area United Way,67.74,1
952,Fort Wayne Public Television,88.03,3
953,Middle Way House,94.49,4
954,International Disaster Emergency Service,95.18,4
955,United Way Center of Bartholomew,97.5,4
956,Crown Point Community Foundation,81.61,3
957,Northwest Indiana Public Broadcasting,63.43,1
958,Alternatives Incorporated of Madison County,90.0,4
959,"Keep Indianapolis Beautiful, Inc.",88.16,3
960,Trinity Broadcasting of Indiana,92.5,4
961,Food Finders Food Bank,97.5,4
962,Science Central,87.49,3
963,Life Centers,80.14,3
964,Community Harvest Food Bank of Northeast Indiana,99.42,4
965,Second Harvest Food Bank of East Central Indiana,90.0,4
966,Community Foundation of Grant County Indiana,87.74,3
967,Eiteljorg Museum of American Indians and Western Art,83.92,3
968,Kids Alive International,99.32,4
969,Habitat for Humanity of St Joseph County Inc,95.0,4
970,The Indiana Youth Institute,92.14,4
971,LeSea Global Feed the Hungry,90.0,4
972,"Water for Good, Inc.",78.35,2
973,Solid Rock International,97.47,4
974,Community Health Free Clinic,100.0,4
975,The Outreach Program,89.45,3
976,Camp Courageous of Iowa,91.74,4
977,United Way of the Quad Cities ,84.22,3
978,River Bend Foodbank,97.5,4
979,International Messengers,88.06,3
980,Greater Des Moines Botanical Garden,97.47,4
981,Cedar Rapids Museum of Art,83.97,3
982,United Way of Siouxland,93.28,4
983,Des Moines Art Center,91.65,4
984,United Way of Central Iowa,98.88,4
985,Animal Rescue League of Iowa,91.81,4
986,YMCA of Greater Des Moines,87.5,3
987,YMCA of the Iowa Mississippi Valley,92.86,4
988,Des Moines Community Playhouse,83.57,3
989,Cedar Valley United Way,87.91,3
990,The Gospel Mission,97.51,4
991,Jewish Federation of Greater Des Moines,99.11,4
992,United Way of East Central Iowa,88.92,3
993,United Way of Story County,100.0,4
994,CommUnity,93.65,4
995,"Mid-Iowa Council, Boy Scouts of America",74.86,2
996,Great Plains SPCA,66.53,1
997,KC Healthy Kids,89.51,3
998,Kansas Big Brothers Big Sisters,73.15,2
999,"Boy Scouts of America, Quivira Council",79.67,2
1000,Rolling Hills Zoo,85.79,3
1001,Unbound,88.32,3
1002,"Nazarene Compassionate Ministries, Inc.",82.5,3
1003,The Family Conservancy,80.0,3
1004,Jewish Family Services of Greater Kansas City,93.31,4
1005,Jewish Federation of Greater Kansas City,97.15,4
1006,Planned Parenthood Great Plains,96.75,4
1007,American Academy of Family Physicians Foundation,64.48,1
1008,Mercy Without Limits,95.0,4
1009,Kansas University Alumni Association,86.13,3
1010,Alumni Association of Kansas State University,70.95,2
1011,"Catholic Charities, Inc. - Diocese of Wichita ",84.17,3
1012,Capper Foundation,90.0,4
1013,"Boy Scouts of America, Coronado Area Council",89.51,3
1014,United Way of the Plains,93.38,4
1015,Wichita Children's Home,100.0,4
1016,Kansas Humane Society,80.92,3
1017,United Way of Greater Topeka,85.22,3
1018,Salina Area United Way,74.47,2
1019,Humane Society of Greater Kansas City,79.83,2
1020,Kansas 4-H Foundation,81.26,3
1021,Eisenhower Foundation,73.11,2
1022,Wichita Symphony Society,97.94,4
1023,Topeka Rescue Mission,100.0,4
1024,United Methodist Open Door,99.28,4
1025,Senior Services Inc. of Wichita,88.58,3
1026,Music Theatre of Wichita,83.79,3
1027,United Way of Douglas County,89.05,3
1028,United Way of Reno County,91.7,4
1029,The Land Institute,93.82,4
1030,High Plains Public Radio,81.12,3
1031,Smoky Hills Public Television,82.9,3
1032,Special Olympics Kansas,76.02,2
1033,SAFEHOME,90.31,4
1034,Ronald McDonald House Charities Wichita,75.41,2
1035,Sunflower House,90.33,4
1036,Salina Rescue Mission,89.47,3
1037,Kansas Food Bank,93.41,4
1038,Trees for Life,77.16,2
1039,Exploration Place,90.72,4
1040,Great Plains Christian Radio,79.2,2
1041,Boys & Girls Club of South Central Kansas,94.12,4
1042,Life In Abundance International,92.08,4
1043,"USA Cares, Inc.",84.42,3
1044,Gilda's Club Kentuckiana,82.64,3
1045,The Center for Courageous Kids,89.65,3
1046,United Way of Kentucky,76.19,2
1047,Dare to Care Food Bank,91.35,4
1048,Kentucky 4-H Foundation,96.11,4
1049,Blessings in A Backpack,94.17,4
1050,Mountain Association for Community Economic Development,93.41,4
1051,God's Pantry Food Bank,97.5,4
1052,Market House Theatre of Paducah Kentucky Inc.,91.25,4
1053,The Community Foundation of Louisville,92.39,4
1054,Ronald McDonald House Charities of Kentuckiana,77.5,2
1055,Fairhaven Rescue Mission,92.69,4
1056,Kentucky Coalition,91.99,4
1057,Answers in Genesis,89.75,3
1058,G.O. Ministries,90.1,4
1059,The Council of State Governments,81.41,3
1060,Children's Lifeline,77.56,2
1061,Nativity Academy at Saint Boniface,86.02,3
1062,DAV (Disabled American Veterans) Charitable Service Trust,100.0,4
1063,United Way of the Ohio Valley,82.22,3
1064,American Printing House For The Blind,76.34,2
1065,Bernheim Arboretum and Research Forest,92.88,4
1066,United Way of the Bluegrass,73.3,2
1067,Metro United Way,89.12,3
1068,The Filson Historical Society,87.67,3
1069,Lexington Humane Society,95.19,4
1070,Jewish Community of Louisville,94.87,4
1071,Louisville Urban League,78.7,2
1072,The Speed Art Museum,96.28,4
1073,YMCA of Central Kentucky,88.77,3
1074,The Center for Women and Families,84.75,3
1075,Home of the Innocents,91.99,4
1076,"Boy Scouts of America, Lincoln Heritage Council",83.99,3
1077,"Neighborhood House, Louisville",79.87,2
1078,The Cabbage Patch Settlement House,88.7,3
1079,The Kentucky United Methodist Homes for Children & Youth,85.17,3
1080,Potter Children's Home & Family Ministries,88.04,3
1081,Kentucky Humane Society,92.95,4
1082,StageOne Family Theatre,64.16,1
1083,"Junior Achievement of Kentuckiana, Inc.",85.99,3
1084,Fund for the Arts,85.54,3
1085,Family & Children's Place,79.0,2
1086,United Way of Southern Kentucky,86.6,3
1087,Louisville Central Community Center,90.99,4
1088,Actors Theatre of Louisville,89.02,3
1089,Christian Appalachian Project,87.49,3
1090,Wayside Christian Mission,97.51,4
1091,Living Arts & Science Center,100.0,4
1092,Foundation for the Tri-State Community,85.14,3
1093,Center for Great Neighborhoods of Covington,87.5,3
1094,Appalshop,90.37,4
1095,National Performance Network,93.92,4
1096,Center for Planning Excellence,89.22,3
1097,Manship Theatre,63.54,1
1098,Shreveport-Bossier Rescue Mission,71.72,2
1099,New Orleans Ballet Association,82.77,3
1100,SBP,100.0,4
1101,Youth Empowerment Project,89.62,3
1102,The Idea Village,80.64,3
1103,Audubon Nature Institute,82.5,3
1104,Tipitina's Foundation,61.58,1
1105,Covenant House New Orleans,95.7,4
1106,WWOZ,84.93,3
1107,Louisiana Resource Center for Educators,67.67,1
1108,New Orleans Opera Association,92.5,4
1109,Catholic Charities Archdiocese of New Orleans,88.26,3
1110,The Greater New Orleans Foundation,95.71,4
1111,Jewish Children's Regional Service,94.7,4
1112,"Boy Scouts of America, Istrouma Area Council",76.04,2
1113,"Boy Scouts of America, Evangeline Area Council",82.5,3
1114,"Boy Scouts of America, Louisiana Purchase Council",74.04,2
1115,"Capital Area United Way, Louisiana",80.44,3
1116,United Way of Southwest Louisiana,87.45,3
1117,Goodwill Industries of North Louisiana,80.0,3
1118,United Way of Central Louisiana,94.65,4
1119,Louisiana SPCA,89.29,3
1120,United Way of Southeast Louisiana,75.55,2
1121,United Way of Northeast Louisiana,88.45,3
1122,United Way of Northwest Louisiana,67.52,1
1123,United Way of Acadiana,90.39,4
1124,Special Olympics Louisiana,66.44,1
1125,The Arts Council of Greater Baton Rouge,61.38,1
1126,WRKF 89.3,71.49,2
1127,"Contemporary Arts Center, New Orleans",83.4,3
1128,Mount Desert Island Biological Laboratory,88.52,3
1129,United Way of Eastern Maine,88.38,3
1130,The Jackson Laboratory,97.18,4
1131,Maine Historical Society,59.04,1
1132,Boys & Girls Clubs of Southern Maine,96.95,4
1133,United Way of Androscoggin County,80.18,3
1134,Pine Tree Society,95.0,4
1135,Animal Refuge League,81.22,3
1136,Bangor Humane Society,95.05,4
1137,Maine Seacoast Mission,90.83,4
1138,Boothbay Region YMCA,92.96,4
1139,United Way of Greater Portland,86.09,3
1140,Maine Audubon,79.7,2
1141,The Maine Children's Home for Little Wanderers,93.57,4
1142,Natural Resources Council of Maine,87.77,3
1143,Maine Maritime Museum,99.96,4
1144,"United Way of York County, Maine",81.79,3
1145,Emmaus H.O.M.E.,83.57,3
1146,Children's Museum & Theatre of Maine,66.36,1
1147,Special Olympics Maine,83.21,3
1148,Farnsworth Art Museum,80.68,3
1149,Portland Museum of Art,80.71,3
1150,Maine Community Foundation,91.3,4
1151,Preble Street,85.35,3
1152,Tedford Housing,78.34,2
1153,Friends of Acadia,78.38,2
1154,Coastal Maine Botanical Gardens,74.0,2
1155,Make-A-Wish Foundation of Maine,77.3,2
1156,Camp Beech Cliff,91.55,4
1157,Gulf of Maine Research Institute,90.41,4
1158,Acadia Center,100.0,4
1159,Mitchell Institute,95.64,4
1160,Safe Passage,77.54,2
1161,United Way of Kennebec Valley,93.5,4
1162,United Way of Mid Coast Maine,83.89,3
1163,Bigelow Laboratory for Ocean Sciences,85.87,3
1164,Greater Androscoggin Humane Society,87.16,3
1165,Bay Chamber Concerts,88.49,3
1166,World Jewish Congress - American Section,95.18,4
1167,Common Dreams,95.0,4
1168,Maine Justice Foundation,90.87,4
1169,"Camp Sunshine, Maine",100.0,4
1170,Island Institute,71.78,2
1171,Good Shepherd Food Bank of Maine,93.56,4
1172,Maine Public,92.4,4
1173,Immigrant Legal Advocacy Project,88.72,3
1174,Animal Welfare Society,90.72,4
1175,Maine Center for Coastal Fisheries,86.32,3
1176,LifeFlight Foundation,80.74,3
1177,Catholic Foundation of Maine,79.81,2
1178,National Federation of the Blind,86.42,3
1179,Chesapeake Shakespeare Company,89.07,3
1180,National Foundation for Cancer Research,77.68,2
1181,Wild Earth Allies,86.58,3
1182,Planet Aid,74.97,2
1183,The Humane League,90.6,4
1184,Sjögren's Syndrome Foundation,85.32,3
1185,Fisher House Foundation,97.5,4
1186,Chesapeake Climate Action Network,80.71,3
1187,"NAACP Empowerment Programs, Inc.",74.74,2
1188,Association on American Indian Affairs,73.71,2
1189,American Nurses Foundation,89.5,3
1190,Cystic Fibrosis Foundation,97.47,4
1191,Lutheran World Relief,84.29,3
1192,Veterans Support Foundation,0.0,0
1193,Catholic Relief Services,87.5,3
1194,HIAS,82.51,3
1195,Humanity First USA,97.5,4
1196,Operation Second Chance,100.0,4
1197,Bladder Cancer Advocacy Network,94.24,4
1198,Animals' Angels,79.68,2
1199,AOPA Foundation,74.4,2
1200,ImpactIsrael,100.0,4
1201,Institute for the Analysis of Global Security,65.3,1
1202,SAT 7 North America,78.91,2
1203,World Relief,79.31,2
1204,Chesapeake Bay Maritime Museum,96.13,4
1205,Osteogenesis Imperfecta Foundation,82.43,3
1206,Special Olympics Maryland,79.16,2
1207,American Kidney Fund,87.57,3
1208,Foundation Fighting Blindness,80.6,3
1209,Baltimore Community Foundation,80.23,3
1210,National Foundation for Infectious Diseases,92.23,4
1211,ACLU Foundation of Maryland,96.7,4
1212,Boys & Girls Club of Washington County,90.72,4
1213,BrightFocus Foundation,78.64,2
1214,International Orthodox Christian Charities,82.5,3
1215,Disabled Veterans National Foundation,0.0,0
1216,Chesapeake Conservancy,95.58,4
1217,Harwood Institute for Public Innovation,60.85,1
1218,WYPR,85.34,3
1219,Strategic Resource Group,92.5,4
1220,National History Day,77.57,2
1221,Izaak Walton League of America,85.37,3
1222,National 4-H Council,85.96,3
1223,Yellow Ribbon Fund,86.5,3
1224,Metavivor,92.5,4
1225,International Youth Foundation,86.36,3
1226,Foundation Fighting Blindness Clinical Research Institute,80.6,3
1227,Warrior Canine Connection,99.85,4
1228,Child Rights And You America,77.53,2
1229,New Economy Coalition,74.51,2
1230,Ibis Reproductive Health,99.88,4
1231,Nativity School of Worcester,84.07,3
1232,Worcester Art Museum,88.83,3
1233,Worcester County Horticultural Society,84.2,3
1234,New England Forestry Foundation,81.31,3
1235,DeCordova Sculpture Park and Museum,72.77,2
1236,Big Brothers Big Sisters of Massachusetts Bay,81.72,3
1237,YWCA Boston,69.95,1
1238,Boston Symphony Orchestra,89.93,3
1239,YMCA of Greater Boston,84.11,3
1240,Combined Jewish Philanthropies,100.0,4
1241,MSPCA-Angell,87.34,3
1242,"Museum of Fine Arts, Boston",83.65,3
1243,Perkins School for the Blind,81.82,3
1244,American Academy of Arts and Sciences,82.18,3
1245,Animal Rescue League of Boston,90.59,4
1246,Athol Area YMCA,98.99,4
1247,Berkshire Museum,80.11,3
1248,Greater Boston Legal Services,91.18,4
1249,Museum of Science,87.7,3
1250,Boys & Girls Clubs of Boston,90.27,4
1251,Boys & Girls Club of Fall River,96.56,4
1252,Boys & Girls Club of Lynn,94.2,4
1253,Waltham Boys and Girls Club,95.52,4
1254,United Way of Greater Plymouth County,82.43,3
1255,Boston Children's Museum,85.86,3
1256,Clarke Schools for Hearing and Speech,77.99,2
1257,United Way of Central Massachusetts,79.75,2
1258,The Boston Foundation,90.57,4
1259,United Way of Greater Fall River,78.52,2
1260,Concord Museum,70.28,2
1261,Thompson Island Education Center,87.27,3
1262,United Way of Tri County,80.31,3
1263,United Way of Greater New Bedford,92.5,4
1264,The Institute of Contemporary Art,96.53,4
1265,Isabella Stewart Gardner Museum,87.17,3
1266,Jewish Community Relations Council,80.09,3
1267,Jewish Big Brothers Big Sisters of Greater Boston,62.25,1
1268,Jewish Vocational Service of Boston,88.22,3
1269,Jewish Federation of Central Massachusetts,92.9,4
1270,Boys & Girls Club of Lawrence,86.44,3
1271,Boys & Girls Club of Greater Lowell,84.15,3
1272,WGBH Boston,90.71,4
1273,Nantucket Atheneum,84.08,3
1274,Marine Biological Laboratory,87.66,3
1275,Massachusetts Audubon Society,90.75,4
1276,Massachusetts Horticultural Society,76.52,2
1277,Boston Rescue Mission,90.4,4
1278,National Braille Press,82.35,3
1279,Rise for Animals,86.15,3
1280,New England Historic Genealogical Society and American Ancestors,86.32,3
1281,Native Plant Trust,84.5,3
1282,United Way of Hampshire County,79.91,2
1283,Old Dartmouth Historical Society/New Bedford Whaling Museum,96.16,4
1284,South Boston Neighborhood House,81.81,3
1285,Berkshire United Way,76.78,2
1286,Boston Athenæum,84.81,3
1287,Interfaith Social Services,88.02,3
1288,Boys and Girls Club of Greater Salem,65.7,1
1289,Historic New England,92.84,4
1290,The West End House Boys & Girls Clubs of Allston-Brighton,94.05,4
1291,Woods Hole Oceanographic Institution,85.0,3
1292,Boys & Girls Club of Worcester,90.87,4
1293,EcoTarium,84.05,3
1294,YMCA of Central Massachusetts,95.0,4
1295,The Carroll Center for the Blind,77.51,2
1296,Morgan Memorial Goodwill Industries,83.92,3
1297,The Massachusetts Historical Society,84.92,3
1298,American Institute for Economic Research,68.83,1
1299,Girls Inc. of Worcester,91.8,4
1300,Fruitlands Museum,81.98,3
1301,Handel and Haydn Society,77.52,2
1302,Junior Achievement of Northern New England,76.9,2
1303,Jewish Federation of the Berkshires,82.87,3
1304,Cape Ann Museum,94.65,4
1305,United Way of Pioneer Valley,76.42,2
1306,Martha's Vineyard Museum,72.5,2
1307,Longyear Museum,92.81,4
1308,Joslin Diabetes Center,79.04,2
1309,Provincetown Art Association and Museum,72.0,2
1310,The Francis Ouimet Scholarship Fund,88.87,3
1311,Williamstown Theatre Festival,90.72,4
1312,Historic Deerfield,89.4,3
1313,Dana-Farber Cancer Institute,95.0,4
1314,The Cape and Islands United Way,71.34,2
1315,Hancock Shaker Village,74.62,2
1316,Theatre Workshop of Nantucket,80.09,3
1317,Boston Ballet,84.59,3
1318,United Way of Massachusetts Bay and Merrimack Valley,84.89,3
1319,Boys & Girls Clubs of MetroWest,83.61,3
1320,CatholicTV,86.07,3
1321,Teen Challenge New England & New Jersey,91.19,4
1322,Museum of African American History,74.77,2
1323,"RESIST, INC.",83.75,3
1324,Artists Association of Nantucket,70.16,2
1325,Boston Lyric Opera,86.53,3
1326,Bridge Over Troubled Waters,91.94,4
1327,Hitchcock Center,84.77,3
1328,National Consumer Law Center,89.79,3
1329,Council of Social Concern,80.67,3
1330,USS Constitution Museum,92.67,4
1331,Pine Street Inn,87.24,3
1332,Boston Baroque,57.72,1
1333,Union of Concerned Scientists,91.61,4
1334,Rosie's Place,85.43,3
1335,New England Foundation for the Arts,91.96,4
1336,Center for Coastal Studies,88.04,3
1337,Harvard Hillel,78.9,2
1338,The Boston House,86.78,3
1339,Samaritans,85.48,3
1340,Abby's House,86.3,3
1341,New Bedford Symphony Orchestra,87.08,3
1342,GLBTQ Legal Advocates & Defenders (GLAD),88.01,3
1343,Merrimack Repertory Theatre,88.48,3
1344,Shakespeare & Company,83.48,3
1345,The Mount,89.26,3
1346,Sociedad Latina,92.49,4
1347,Boston Philharmonic Orchestra,73.29,2
1348,Planned Parenthood League of Massachusetts,89.33,3
1349,Sea Education Association,82.29,3
1350,National Yiddish Book Center,81.67,3
1351,The Greater Boston Food Bank,85.29,3
1352,Jewish Family Service of Metrowest,99.68,4
1353,Wellspring House,82.48,3
1354,REACH Beyond Domestic Violence,79.59,2
1355,Peace Development Fund,97.5,4
1356,Discovery Museum,85.8,3
1357,The Food Bank of Western Massachusetts,91.53,4
1358,Lazarus House,83.05,3
1359,The Genesis Foundation for Children,52.3,0
1360,Facing History and Ourselves,86.31,3
1361,The Parenting Journey,76.92,2
1362,Northampton Survival Center,85.73,3
1363,Boston Neighborhood Network,95.25,4
1364,More Than Words,92.27,4
1365,Freelance Players Inc DBA Urban Improve,83.84,3
1366,Boston Youth Symphony Orchestras,88.3,3
1367,Grassroots International,93.74,4
1368,Center for Public Interest Research,82.66,3
1369,Lower Cape Outreach Council,91.24,4
1370,Free Software Foundation,100.0,4
1371,New England Wildlife Center,93.4,4
1372,Project Bread,72.54,2
1373,Buzzards Bay Coalition,89.56,3
1374,Habitat for Humanity Boston Inc,86.94,3
1375,Woodwell Climate Research Center,92.98,4
1376,New England Center and Home for Veterans,72.21,2
1377,Thompson Island Outward Bound Education Center (TIOBEC),87.27,3
