,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
127,The Kōkua Hawaiʻi Foundation supports environmental education in the schools and communities of Hawaiʻi. Our mission is to provide students with experiences that will enhance their appreciation for and understanding of their environment so they will be lifelong stewards of the earth. We support hands-on learning activities that engage their senses and make lasting impressions on children's minds. We believe our keiki are the seeds of change to preserving and protecting our beautiful islands.,Supporting environmental education in the schools and communities of Hawaiʻi.,Kokua Hawai?i Foundation,Education,3,Youth Education Programs and Services,40,San Rafael,CA,94903,67.38,1,,54,0,"Environmental Quality, Protection and Beautification ",Educational Organization,"Independent - the organization is an independent organization or an independent auxiliary (i.e., not affiliated with a National, Regional, or Geographic grouping of organizations).",Organization which receives a substantial part of its support from a governmental unit or the general public   170(b)(1)(A)(vi),Recycling Programs,Contributions are deductible,501(c)(3),17963907.0,10305376.0,96.61,4
128,The Campaign for College Opportunity is focused on a single mission: to ensure that the next generation of California students has the chance to attend college and succeed in order to keep our workforce and economy strong. The Campaign's work is guided by three main priorities: to engage a broad coalition of California leaders and organizations in support of higher education access and success; to raise public awareness and share research highlighting the challenges and opportunities facing California; and to support policy solutions and reforms to our higher education system so that we can produce the one million additional college graduates our state needs.,Ensuring that the next generation of Californians has the opportunity to go to college and succeed.,Campaign for College Opportunity,Education,3,Education Policy and Reform,41,Los Angeles,CA,90015,86.44,3,,81,3,Educational Institutions and Related Activities,Charitable Organization,"Independent - the organization is an independent organization or an independent auxiliary (i.e., not affiliated with a National, Regional, or Geographic grouping of organizations).",Organization which receives a substantial part of its support from a governmental unit or the general public   170(b)(1)(A)(vi),"Student Services, Organizations of Students",Contributions are deductible,501(c)(3),2320050.0,2523690.0,97.5,4
129,"One Heart World-Wide's mission to decrease maternal and neonatal mortality and morbidity in remote, rural areas. We started our work in Tibet in 1998 before working in Mexico, and now we are fully-focused on scaling our successful programs across Nepal. We work in five remote districts of Nepal to deliver access to lifesaving maternal and neonatal healthcare. Through our technical assistance program, we have also helped other organizations develop Maternal and Child Health programs in Mainland China, Liberia, and the Ecuadorian Amazon.",We deliver,One Heart Worldwide,International,7,Development and Relief Services,20,San Francisco,CA,94116,91.45,4,,89,3,"International, Foreign Affairs and National Security",Charitable Organization,"Independent - the organization is an independent organization or an independent auxiliary (i.e., not affiliated with a National, Regional, or Geographic grouping of organizations).",Organization which receives a substantial part of its support from a governmental unit or the general public   170(b)(1)(A)(vi),International Relief,Contributions are deductible,501(c)(3),2708982.0,3234267.0,95.0,4
130,"For over 20 years, TGR Foundation has been unwavering advocates for the transformative power of education. We have a universal vision: giving students in need the right resources for lifelong success in school, their communities and the working world. We are pioneers in positive youth development, encouraging self-advocacy skills in young people. We foster a growth mindset, instilling in students the power to persevere and define their own path. Through our award-winning STEM curricula, college-access programs, digital platforms and educator professional development, TGR Foundation offers underserved students the tools and support needed to thrive in school and beyond. ",Empowering students to pursue their passions through education,"TGR Foundation, A Tiger Woods Charity",Human Services,6,"Youth Development, Shelter, and Crisis Services",16,Irvine,CA,92617,91.45,4,,93,4,Educational Institutions and Related Activities,Educational Organization,"Independent - the organization is an independent organization or an independent auxiliary (i.e., not affiliated with a National, Regional, or Geographic grouping of organizations).",School 170(b)(1)(A)(ii),"Elementary, Secondary Education, K - 12",Contributions are deductible,501(c)(3),106189338.0,39438864.0,90.15,4
131,"Cambodian Children's Fund believes that with quality education and leadership, one child has the potential to lift an entire family out of poverty and a generation of educated children has the power to change a society.<br><br>By investing in the health, education and well-being of impoverished children and youth, we are building the skills, confidence and integrity they need to become leaders of positive change in their communities.<br><br>We take a holistic, on-the-ground approach to developing integrated yet simple solutions to the complex issues of poverty. We work hand-in-hand with local families to deliver support programs, strengthen self-governance and grow safe, supportive communities where children can thrive.<br>","Providing life-changing education, nourishment and healing",Cambodian Children's Fund,International,7,Development and Relief Services,20,Santa Monica,CA,90404,94.46,4,,100,4,"Philanthropy, Voluntarism and Grantmaking Foundations",Charitable Organization,"Independent - the organization is an independent organization or an independent auxiliary (i.e., not affiliated with a National, Regional, or Geographic grouping of organizations).",Organization which receives a substantial part of its support from a governmental unit or the general public   170(b)(1)(A)(vi),Public Foundations,Contributions are deductible,501(c)(3),21049446.0,11284542.0,92.17,4
132,"Founded in 2004, our mission is to create an urban agriculture and education project that empowers youth and adults to discover and participate in a local food system that encourages healthy living, nurtures the environment and grows a sustainable community. Our programs focus on promoting health and providing experiential learning opportunities for youth and adults, producing healthy food, improving access to healthy food for all and modeling land and environmental stewardship. Beyond producing healthy, certified organic produce for our 80 CSA members and local stores, restaurants, and farm stands, Soil Born Farms has also developed several innovative education and food access programs in partnership with area schools and agencies.","Connecting food, health & the environment",Soil Born Farms Urban Agriculture & Education Project,Education,3,Adult Education Programs and Services,39,Rancho Cordova,CA,95670,78.32,2,,74,2,"Employment, Job-Related",Charitable Organization,"Independent - the organization is an independent organization or an independent auxiliary (i.e., not affiliated with a National, Regional, or Geographic grouping of organizations).",Organization which receives a substantial part of its support from a governmental unit or the general public   170(b)(1)(A)(vi),Vocational Training,Contributions are deductible,501(c)(3),858184.0,1817675.0,83.77,3
133,"Global Solutions for Infectious Diseases (GSID) is a non-profit global health organization engaged in the development of diagnostic and preventive tools for infectious diseases, including HIV. We also provide assistance to, and collaborate with, global public health organizations, private foundations, other non-governmental organizations and for-profit entities focused on public health issues and infectious diseases. Our focus is to facilitate the access to affordable health solutions for the benefit of the people most in need, particularly in developing countries.",Helping prevent the spread of infectious diseases,Global Solutions for Infectious Diseases,Health,5,Medical Research,14,South San Francisco,CA,94080,60.27,1,,47,0,Medical Research,Charitable Organization,"Independent - the organization is an independent organization or an independent auxiliary (i.e., not affiliated with a National, Regional, or Geographic grouping of organizations).",Organization which receives a substantial part of its support from a governmental unit or the general public   170(b)(1)(A)(vi),AIDS Research,Contributions are deductible,501(c)(3),252856.0,926380.0,81.35,3
134,"St. Baldrick's Foundation began in 2000 as a challenge between friends and has since grown into the world's largest volunteer-powered, donor centered fundraising program for childhood cancer research. The Foundation now funds more in childhood cancer research grants than any organization except the U.S. government. Its signature head-shaving events are coordinated worldwide, where volunteers get bald to stand in solidarity with kids with cancer and raise money to support lifesaving research. Since its start, nearly 450,000 shavees, including over 59,000 women, have shaved their heads at more than 10,000 head-shaving events in 25 countries and 50 U.S. states. St. Baldrick's has committed more than $200 million since 2005 to fund local institutions as well as cooperative research on a national scale to help doctors work together to develop the best treatments for all children with cancer.",Conquer childhood cancers,St. Baldrick's Foundation,Health,5,Medical Research,14,Monrovia,CA,91016,75.54,2,,100,4,"Philanthropy, Voluntarism and Grantmaking Foundations",Charitable Organization,"Independent - the organization is an independent organization or an independent auxiliary (i.e., not affiliated with a National, Regional, or Geographic grouping of organizations).",Organization which receives a substantial part of its support from a governmental unit or the general public   170(b)(1)(A)(vi),Public Foundations,Contributions are deductible,501(c)(3),38988429.0,40608275.0,65.42,1
135,"ShareWell has a bold, ambitious, and achievable vision: create a future where young people are nurtured at every age to become compassionate, confident human beings with the power to shape their lives and a desire to make the world a better place. Through cultural and creativity workshops that help young people understand complicated new ideas and generate their own, and arts education that encourages critical thinking, ShareWell excels at providing children youth and families with the tools they need to become responsible global citizens. We up of two main initiatives: the Cayton Children's Museum and an innovative program called youTHink that brings arts education, leadership development and civic engagement to middle and high school students in Title 1 public schools.",Playing our way to a better world,ShareWell,"Arts, Culture, Humanities",2,Museums,3,Santa Monica,CA,90401,79.74,2,,93,4,"Arts, Culture and Humanities",Charitable Organization,"Independent - the organization is an independent organization or an independent auxiliary (i.e., not affiliated with a National, Regional, or Geographic grouping of organizations).",Organization which receives a substantial part of its support from a governmental unit or the general public   170(b)(1)(A)(vi),"Museum, Museum Activities",Contributions are deductible,501(c)(3),,,72.22,2
136,"Launched in 2005, Voice of San Diego was the first digital, nonprofit news organization in the country to serve a local community. Our mission is to consistently deliver ground-breaking investigative journalism for the San Diego region and to increase civic participation by giving residents the knowledge and in-depth analysis necessary to become advocates for good government and social progress. Most important, VOSD gives concerned residents the tools to engage in important conversations about their community. We are building a community of educated San Diegans who dare to ask tough questions and demand answers.",Smart Local News Funded by Smart Local People.,Voice of San Diego,"Arts, Culture, Humanities",2,Public Broadcasting and Media,5,San Diego,CA,92101,83.23,3,,77,2,"Arts, Culture and Humanities",Charitable Organization,"Independent - the organization is an independent organization or an independent auxiliary (i.e., not affiliated with a National, Regional, or Geographic grouping of organizations).",Organization which receives a substantial part of its support from a governmental unit or the general public   170(b)(1)(A)(vi),"Media, Communications Organizations",Contributions are deductible,501(c)(3),737277.0,1771747.0,94.27,4
137,"To perform outstanding classical and modern ballets that set the standard for dance in Los Angeles, nationally and internationally. To passionately pursue innovation and creativity in performances. To preserve the best choreographic work of the past and become the impetus for the best choreography yet to come. To be an exciting arts organization and the “place to be” for the most talented dancers, choreographers, musicians, composers, artists, designers, staff and volunteers. To be an instrument of hope, healing and joy, sharing the gift of dance with the broadest possible audience and in particular, distressed communities. To develop and strengthen Los Angeles Ballet's financial and organizational foundation. To captivate Los Angeles' large and diverse audience who will become devoted, supportive patrons. Founded in 2004 by Artistic Directors Thordal Christensen and Colleen Neary, and Executive Director Julie Whittaker, Los Angeles Ballet is known for its superb stagings of the Balanchine repertory, stylistically meticulous classical ballets, and its commitment to new works. LAB has become recognized as a world-class ballet company. At the end of nine seasons it presented 28 productions encompassing 50 works, including 15 commissioned world premieres. Los Angeles Ballet ‘tours' throughout LA County, regularly appearing at five venues.",Performing outstanding classical and modern ballets that set the standard for dance in Los Angeles.,Los Angeles Ballet,"Arts, Culture, Humanities",2,Performing Arts,4,Los Angeles,CA,90064,75.17,2,,81,3,"Arts, Culture and Humanities",Educational Organization,"Independent - the organization is an independent organization or an independent auxiliary (i.e., not affiliated with a National, Regional, or Geographic grouping of organizations).","Organization that normally receives no more than one-third of its support from gross investment income and unrelated business income and at the same time more than one-third of its support from contributions, fees, and gross receipts related to exempt purposes.  509(a)(2)",Ballet,Contributions are deductible,501(c)(3),185616.0,3908331.0,70.47,2
138,"Generation Rescue is the leading national organization that provides hope, information and immediate treatment assistance to families affected by autism spectrum disorders. Generation Rescue provides a number of ways to support families including more than 1,300 volunteer parent mentors (Rescue Angels), a toll-free hotline, programming on autism treatment, a free national conference, virtual and local conferences, a list of recommended physicians, and medical grants for families who cannot afford critical treatments such as doctor visits, lab testing and nutritional counseling.",Hope for recovery,Generation Rescue,Health,5,Patient and Family Support,34,Sherman Oaks,CA,91423,59.63,1,,52,0,"Diseases, Disorders, Medical Disciplines",Charitable Organization,"Independent - the organization is an independent organization or an independent auxiliary (i.e., not affiliated with a National, Regional, or Geographic grouping of organizations).",Organization which receives a substantial part of its support from a governmental unit or the general public   170(b)(1)(A)(vi),Autism,Contributions are deductible,501(c)(3),0.0,452485.0,69.11,1
139,Tipping Point Community is a non-profit organization committed to fighting poverty in the San Francisco Bay Area for the individuals and families too poor to meet their basic needs. We support the development of new poverty-fighting solutions by providing grantees with the risk capital and tools needed to think big. We connect grantees with best-in-class pro bono partners to provide services and expertise that many groups could not access on their own. We collaborate with the public sector to leverage our impact and create scalable change.,Fighting Poverty in the Bay Area,Tipping Point Community,Human Services,6,Social Services,29,San Francisco,CA,94104,94.07,4,,92,4,"Philanthropy, Voluntarism and Grantmaking Foundations",Charitable Organization,"Independent - the organization is an independent organization or an independent auxiliary (i.e., not affiliated with a National, Regional, or Geographic grouping of organizations).",Organization which receives a substantial part of its support from a governmental unit or the general public   170(b)(1)(A)(vi),Public Foundations,Contributions are deductible,501(c)(3),81222974.0,75653469.0,97.5,4
140,"The Institute for Middle East Understanding (IMEU) provides journalists with quick access to information about Palestine and the Palestinians, as well as expert sources, both in the United States and in the Middle East. The IMEU works to increase the public's understanding about the socio-economic, political and cultural aspects of Palestine, Palestinians, and Palestinian Americans.",Fostering an increased understanding among Americans about Palestine and the Palestinians,Institute for Middle East Understanding,International,7,"International Peace, Security, and Affairs",19,Tustin,CA,92782,86.56,3,,81,3,"International, Foreign Affairs and National Security",Educational Organization,"Independent - the organization is an independent organization or an independent auxiliary (i.e., not affiliated with a National, Regional, or Geographic grouping of organizations).",Organization which receives a substantial part of its support from a governmental unit or the general public   170(b)(1)(A)(vi),Promotion of International Understanding,Contributions are deductible,501(c)(3),1866361.0,2118374.0,99.96,4
141,"The mission of Lazarex Cancer Foundation is to improve patient access to cancer clinical trials. At Lazarex Cancer Foundation we improve the outcome of cancer care, giving hope, dignity and life to advanced stage cancer patients and the medically underserved by providing assistance with costs for FDA clinical trial participation, identification of clinical trial options, community outreach and engagement. We provide resources for cancer patients who have been told they have no other options, but who are not yet done with their journey in life and refuse to give up.",Improving patient access to cancer clinical trials nationwide,Lazarex Cancer Foundation,Health,5,Patient and Family Support,34,Danville,CA,94526,91.34,4,,92,4,Educational Institutions and Related Activities,Charitable Organization,"Independent - the organization is an independent organization or an independent auxiliary (i.e., not affiliated with a National, Regional, or Geographic grouping of organizations).",Organization which receives a substantial part of its support from a governmental unit or the general public   170(b)(1)(A)(vi),Educational Services and Schools - Other,Contributions are deductible,501(c)(3),8190922.0,7529002.0,90.74,4
142,"The Turtle Conservancy is dedicated to protecting threatened turtles and tortoises and their habitats worldwide. It focuses its work on four strategic program areas: conserving species in their natural habitat, maintaining captive breeding programs, monitoring illegal trade threats, and spreading global awareness. The Turtle Conservancy envisions a world where all species of turtles and tortoises ultimately thrive in the wild.",Save Turtles. Save the Planet.,Turtle Conservancy,Animals,1,Wildlife Conservation,1,Ojai,CA,93023,90.42,4,,88,3,Animal-Related,Charitable Organization,"Independent - the organization is an independent organization or an independent auxiliary (i.e., not affiliated with a National, Regional, or Geographic grouping of organizations).",Organization which receives a substantial part of its support from a governmental unit or the general public   170(b)(1)(A)(vi),"Wildlife Preservation, Protection",Contributions are deductible,501(c)(3),1577104.0,1898458.0,93.72,4
143,"Mujeres Unidas y Activas (MUA) is a grassroots organization of Latina immigrant women with a double mission of promoting personal transformation and building community power for social and economic justice. We achieve our mission by: creating an environment of understanding and confidentiality; empowering and educating our members to provide mutual support; offering trainings to build economic security and leadership; working in diverse alliances on the local, regional, national, and international levels; and by organizing campaigns to win immigrant, workers' and women's rights.",Promoting personal transformation and building community power,Mujeres Unidas Y Activas,Human and Civil Rights,8,Advocacy and Education,21,San Francisco,CA,94110,89.38,3,,85,3,Human Services - Multipurpose and Other,Charitable Organization,"Independent - the organization is an independent organization or an independent auxiliary (i.e., not affiliated with a National, Regional, or Geographic grouping of organizations).",Organization which receives a substantial part of its support from a governmental unit or the general public   170(b)(1)(A)(vi),Human Service Organizations - Multipurpose,Contributions are deductible,501(c)(3),4556767.0,4314797.0,99.42,4
144,"Support The Enlisted Project (STEP) provides emergency financial grants and transition assistance grants to active duty and recently discharged enlisted service members and their families. Our service area now includes 19 military installations in Southern California. We serve enlisted families in pay-grades E1 to E6 whether on active duty, or honorably discharged within the past 12 months, to help them successfully reintegrate into civilian life. Whether a military family is in need of a new transmission for their car, or an expectant mother and military spouse needs critical infant items, Support The Enlisted Project (STEP) is here to help with grants, not loans, for unexpected financial hardships. Where there is a need that we do not provide, we will partner with other organizations in the community for the benefit of our Nation's heroes and the families they frequently leave behind. STEP was formerly known as Operation Homefront Southern California from 2005 to 2012.<",Emergency financial & transition assistance grants to active duty & recently discharged enlisted military & families,Support The Enlisted Project (STEP),Human Services,6,Social Services,29,San Diego,CA,92131,92.64,4,,100,4,"Public, Society Benefit - Multipurpose and Other",Charitable Organization,"Independent - the organization is an independent organization or an independent auxiliary (i.e., not affiliated with a National, Regional, or Geographic grouping of organizations).",Organization which receives a substantial part of its support from a governmental unit or the general public   170(b)(1)(A)(vi),"Military, Veterans' Organizations",Contributions are deductible,501(c)(3),598030.0,1884025.0,89.6,3
145,"At Courage Worldwide, we believe each and every individual was created on purpose for a unique purpose and that purpose has life altering, eternal implications. Since opening in 2005, CWW has simply helped people find that purpose. But in 2007, we realized we live in a world where children are sold for sex. When we discovered it wasn't just in our world but in our own country, our city and state, we became overwhelmed by the fact that these children will die after enduring years of torture – never being and doing all they were created to do – if somebody didn't do something. So we build them homes, call them family and provide all the resources they need to be and do all God created them to be. Now many who were once called tortured and traumatized are called rescued and restored living lives focused on discovering their true identities and fulfilling their destiny.",Changing the World One Individual at a Time,Courage Worldwide,International,7,Development and Relief Services,20,Rocklin,CA,95765,75.96,2,,74,2,Human Services - Multipurpose and Other,Charitable Organization,"Independent - the organization is an independent organization or an independent auxiliary (i.e., not affiliated with a National, Regional, or Geographic grouping of organizations).",Organization which receives a substantial part of its support from a governmental unit or the general public   170(b)(1)(A)(vi),Human Services - Multipurpose and Other N.E.C.,Contributions are deductible,501(c)(3),239582.0,408941.0,78.11,2
146,"Jewish World Watch is an expression of Judaism in action, bringing help and healing to survivors of mass atrocities around the globe and seeking to inspire people of all faiths and cultures to join the ongoing fight against genocide.",Fight genocide. Do not stand idly by.,Jewish World Watch,International,7,"International Peace, Security, and Affairs",19,Encino,CA,91316,90.24,4,,100,4,Educational Institutions and Related Activities,Charitable Organization,"Independent - the organization is an independent organization or an independent auxiliary (i.e., not affiliated with a National, Regional, or Geographic grouping of organizations).",Organization which receives a substantial part of its support from a governmental unit or the general public   170(b)(1)(A)(vi),Education N.E.C.,Contributions are deductible,501(c)(3),1186443.0,1555572.0,86.2,3
147,"Asylum Access is an innovative international nonprofit dedicated to making refugee rights a reality. Asylum Access empowers refugees in Africa, Asia and Latin America to live safely, work, send children to school and rebuild their lives. Asylum Access envisions a world where refugees are seen as people with rights, not just people with needs. Asylum Access believes that by empowering refugees to assert their human rights, we can create effective, lasting solutions for refugees around the world. By helping refugees assert their rights, we are putting power back into their hands. Our work transforms the traditional approach of endless humanitarian handouts to a sustainable solution that gives refugees the tools to provide for themselves and make choices about their own lives.",Making Human Rights a Reality for Refugees,Asylum Access,International,7,"International Peace, Security, and Affairs",19,Oakland,CA,94607,88.68,3,,96,4,"International, Foreign Affairs and National Security",Charitable Organization,"Independent - the organization is an independent organization or an independent auxiliary (i.e., not affiliated with a National, Regional, or Geographic grouping of organizations).",Organization which receives a substantial part of its support from a governmental unit or the general public   170(b)(1)(A)(vi),"International Migration, Refugee Issues",Contributions are deductible,501(c)(3),1608231.0,2673785.0,84.5,3
148,"WildAid's mission is to end the illegal wildlife trade in our lifetimes. WildAid works to reduce the demand for illegal wildlife products, and to promote energy conservation, via global public awareness campaigns. WildAid also strives to create model field conservation programs and to strengthen marine protected areas around the world.","When the Buying Stops, the Killing Can Too",WildAid,Animals,1,Wildlife Conservation,1,San Francisco,CA,94104,100.0,4,,100,4,Animal-Related,Educational Organization,"Independent - the organization is an independent organization or an independent auxiliary (i.e., not affiliated with a National, Regional, or Geographic grouping of organizations).",Organization which receives a substantial part of its support from a governmental unit or the general public   170(b)(1)(A)(vi),Animal Protection and Welfare,Contributions are deductible,501(c)(3),14733710.0,11561905.0,100.0,4
149,"Good Neighbors USA respects the human rights of our neighbors suffering from poverty, disasters, oppression, and helps them to achieve self-reliance and enables them to rebuild their hope. Good Neighbors is an international humanitarian development NGO founded in Korea in 1991. It was granted General Consultative Status from the United Nations Economic and Social Council (UN ECOSOC). To make the world a place without hunger, where people live together in harmony, we work in 38 countries with our focus on community development projects to protect children's rights and encourage the self-reliance of communities. We not only provide humanitarian assistance to DPRK but conduct emergency relief activities throughout the globe in need of a helping hand.",Creating a world free of hunger,Good Neighbors USA,International,7,Development and Relief Services,20,Tustin,CA,92780,91.45,4,,89,3,"International, Foreign Affairs and National Security",Charitable Organization,"Independent - the organization is an independent organization or an independent auxiliary (i.e., not affiliated with a National, Regional, or Geographic grouping of organizations).",Organization which receives a substantial part of its support from a governmental unit or the general public   170(b)(1)(A)(vi),International Relief,Contributions are deductible,501(c)(3),2662615.0,9305428.0,95.0,4
150,"The Jacobs & Cushman San Diego Food Bank is the largest independent hunger-relief organization in San Diego County, providing food to 370,000 people every month through more than 400 nonprofit partners and 200 direct distributions. The Food Bank's mission is to provide nutritious food to people in need, advocate for the hungry, and educate the public about hunger-related issues. As a very lean and efficient organization, 93 cents out of every dollar donated to the Food Bank goes directly to programs and services. Last year, the Food Bank distributed more than 28 million pounds of food - 34% was nutritious fresh fruits & vegetables. More than 20,000 volunteers work hard to sort, pack and distribute food, as well as assist with administrative projects and events. ",Serving San Diego County since 1977,Jacobs & Cushman San Diego Food Bank,Human Services,6,"Food Banks, Food Pantries, and Food Distribution",18,San Diego,CA,92121,96.66,4,,96,4,"Food, Agriculture and Nutrition",Charitable Organization,"Independent - the organization is an independent organization or an independent auxiliary (i.e., not affiliated with a National, Regional, or Geographic grouping of organizations).",Organization which receives a substantial part of its support from a governmental unit or the general public   170(b)(1)(A)(vi),"Food Banks, Food Pantries",Contributions are deductible,501(c)(3),26094824.0,53443072.0,97.5,4
151,"Founded by patients and survivors, GO2 Foundation for Lung Cancer, transforms survivorship as the world's leading organization dedicated to saving, extending, and improving the lives of those vulnerable, at risk, and diagnosed with lung cancer.<br><br>We work to change the reality of living with lung cancer by ending stigma, increasing public and private research funding, and ensuring access to care.",Empower Everyone. Ignore No One.,GO2 Foundation for Lung Cancer,Health,5,"Diseases, Disorders, and Disciplines",13,San Carlos,CA,94070,92.92,4,,100,4,"Diseases, Disorders, Medical Disciplines",Charitable Organization,"Independent - the organization is an independent organization or an independent auxiliary (i.e., not affiliated with a National, Regional, or Geographic grouping of organizations).",Organization which receives a substantial part of its support from a governmental unit or the general public   170(b)(1)(A)(vi),Fund Raising and/or Fund Distribution ,Contributions are deductible,501(c)(3),3236528.0,5939263.0,90.0,4
152,"PREPARING LOS ANGELES STUDENTS FOR SUCCESS IN COLLEGE, CAREER, AND LIFE. Working through a network of high-performing, community-based schools, both traditional public and charter, as well as a portfolio of programs that reach students throughout the County, our organization creates vibrant community hubs and partnerships that foster motivated, engaged, and directed students poised for academic, professional, and personal success. LA Promise Fund is a unique hybrid, operating John Muir Middle School, Manual Arts Senior High School, West Adams Preparatory High School, LA's Promise Charter Middle School #1, and LA's Promise Charter High School #1, while also implementing high profile programs and engagement opportunities available to students and teachers across Los Angeles County.",Empowering students. Strengthening families. Building communities.,LA Promise Fund,Education,3,Youth Education Programs and Services,40,Los Angeles,CA,90012,93.56,4,,97,4,Educational Institutions and Related Activities,Charitable Organization,"Independent - the organization is an independent organization or an independent auxiliary (i.e., not affiliated with a National, Regional, or Geographic grouping of organizations).",Organization which receives a substantial part of its support from a governmental unit or the general public   170(b)(1)(A)(vi),"Scholarships, Student Financial Aid Services, Awards",Contributions are deductible,501(c)(3),5221247.0,9312086.0,91.41,4
153,"Global Heritage Fund's (GHF) mission is to protect, preserve and sustain the most significant and endangered cultural heritage sites in the developing world. Since its founding, GHF has focused its efforts in developing countries and regions on preservation and responsible development of the most important and endangered global heritage sites. GHF projects are selected using strict criteria developed by its Board of Trustees and Senior Advisory Board, and our work on each project follows a methodology termed Preservation by Design ®.",Invest in the future.  Preserve the past.,Global Heritage Fund,"Arts, Culture, Humanities",2,"Libraries, Historical Societies and Landmark Preservation",6,San Francisco,CA,94104,74.92,2,,100,4,"Social Science Research Institutes, Services",Charitable Organization,"Independent - the organization is an independent organization or an independent auxiliary (i.e., not affiliated with a National, Regional, or Geographic grouping of organizations).",Organization which receives a substantial part of its support from a governmental unit or the general public   170(b)(1)(A)(vi),"Anthropology, Sociology",Contributions are deductible,501(c)(3),761887.0,1137491.0,64.54,1
154,"At Living Goods we empower people to improve the health of their families, friends and communities. Living Goods supports networks of ‘Avon-like' health entrepreneurs who go door to door to teach families how to improve their health and wealth and sell life-changing products such as simple treatments for malaria and diarrhea, safe delivery kits, fortified foods, clean cook stoves, water filters, and solar lights. By combining the best practices from business and public health, we are dramatically lowering child mortality AND creating livelihoods for thousands of enterprising women.","Empowering people to improve the health of their families, friends and communities",Living Goods,International,7,Development and Relief Services,20,San Francisco,CA,94129,91.45,4,,89,3,"International, Foreign Affairs and National Security",Charitable Organization,"Independent - the organization is an independent organization or an independent auxiliary (i.e., not affiliated with a National, Regional, or Geographic grouping of organizations).",Organization which receives a substantial part of its support from a governmental unit or the general public   170(b)(1)(A)(vi),"International Development, Relief Services",Contributions are deductible,501(c)(3),17420803.0,27965864.0,95.0,4
155,"Silicon Valley Education Foundation (SVEF) is the nonprofit leader in providing strategic solutions through collective impact.<br>We are guided by the belief that all students are capable of pursuing higher education and boosting their future economic mobility<br>regardless of their background. SVEF has an established legacy of providing proven STEM programs and being profoundly committed<br>to empowering students to graduate high school career and college ready. The impact of our work is evident in our students, teachers,<br>and strong partnerships with districts and donors, creating a skilled workforce for the 21st Century.",Elevating Achievement Through Innovation,Silicon Valley Education Foundation,Education,3,Youth Education Programs and Services,40,San Jose,CA,95126,93.71,4,,100,4,"Community Improvement, Capacity Building",Charitable Organization,"Independent - the organization is an independent organization or an independent auxiliary (i.e., not affiliated with a National, Regional, or Geographic grouping of organizations).",Organization which receives a substantial part of its support from a governmental unit or the general public   170(b)(1)(A)(vi),"Community Improvement, Capacity Building N.E.C.",Contributions are deductible,501(c)(3),4106889.0,7014845.0,91.11,4
156,"Foundation For Animal Care And Education - To enhance and preserve the quality of life of animals by providing access to necessary medical care and education. Established in 2006 by a group of veterinarians and concerned community members, the Foundation for Animal Care and Education (FACE) is a not-for-profit 501©(3) public charity that provides financial grants for animal owners who are unable to afford the cost of their pets' emergency or critical care.",Saving Pets and Helping Families,Foundation for Animal Care and Education,Animals,1,"Animal Rights, Welfare, and Services",2,San Diego,CA,92121,72.98,2,,65,1,Animal-Related,Charitable Organization,"Independent - the organization is an independent organization or an independent auxiliary (i.e., not affiliated with a National, Regional, or Geographic grouping of organizations).",Organization which receives a substantial part of its support from a governmental unit or the general public   170(b)(1)(A)(vi),Animal Protection and Welfare,Contributions are deductible,501(c)(3),1217102.0,1480522.0,84.67,3
157,"Genders & Sexualities Alliance Network (GSA Network) is a next-generation LGBTQ racial and gender justice organization that empowers and trains queer, trans and allied youth leaders to advocate, organize, and mobilize an intersectional movement for safer schools and healthier communities. Our overall strategy for fighting for educational justice is to work with grassroots, youth-led groups and GSAs, empowering them to educate their schools and communities, advocate for just policies that protect LGBTQ youth from harassment and violence, and organize in coalition with other youth groups across identity lines to address broader issues of oppression. All of our work with students focuses on leadership development and activism that prioritizes building alliances not only across sexual orientation and gender identity lines, but also across race, ethnicity, and class lines, and our resources and trainings are designed to facilitate coalition building.",trans and queer youth uniting for racial and gender justice,Genders & Sexualities Alliance Network,Human and Civil Rights,8,Advocacy and Education,21,Oakland,CA,94612,89.64,3,,89,3,"Civil Rights, Social Action, Advocacy",Charitable Organization,"Independent - the organization is an independent organization or an independent auxiliary (i.e., not affiliated with a National, Regional, or Geographic grouping of organizations).",Organization which receives a substantial part of its support from a governmental unit or the general public   170(b)(1)(A)(vi),"Lesbian, Gay Rights",Contributions are deductible,501(c)(3),,,90.34,4
158,"Just in Time for Foster Youth's mission is to engage a caring community to help transition age foster youth achieve self-sufficiency and well-being. When transition age youth (18-26) leave the System, we invite them to join a reliable community that helps them become confident, capable and connected. We envision a future in which every youth leaving the foster care system has access to a Community of caring adults after 18. We believe forging consistent, lasting relationships is the foundation for the success of our youth so they can thrive and enjoy productive, satisfying lives.",Engage a caring community to help transition age foster youth achieve self-sufficiency and well-being.,Just in Time for Foster Youth,Human Services,6,Children's and Family Services,17,San Diego,CA,92120,86.23,3,,100,4,Youth Development,Charitable Organization,"Independent - the organization is an independent organization or an independent auxiliary (i.e., not affiliated with a National, Regional, or Geographic grouping of organizations).",Organization which receives a substantial part of its support from a governmental unit or the general public   170(b)(1)(A)(vi),"Youth Development Programs, Other",Contributions are deductible,501(c)(3),2896420.0,3899765.0,80.54,3
