,0,1,2,3,4
585,Competitive Enterprise Institute,96,4,68.36,1
586,Beyond Pesticides,100,4,85.0,3
587,Christ House,96,4,92.09,4
588,Citizens Against Government Waste,74,2,70.43,2
589,Share Our Strength,97,4,77.87,2
590,Economic Policy Institute,89,3,93.33,4
591,The Washington Institute for Near East Policy,96,4,88.67,3
592,League of Conservation Voters Education Fund,89,3,95.0,4
593,National Law Enforcement Officers Memorial Fund,93,4,60.0,1
594,Higher Achievement,100,4,69.88,1
595,National Fish and Wildlife Foundation,92,4,88.14,3
596,Physicians Committee for Responsible Medicine,97,4,84.5,3
597,Shakespeare Theatre Company,89,3,84.32,3
598,Selous Foundation for Public Policy Research,70,2,42.5,0
599,Samaritan Ministry of Greater Washington,89,3,80.18,3
600,Rails-To-Trails Conservancy,97,4,82.77,3
601,Center for International Policy,96,4,80.81,3
602,Center for Immigration Studies,85,3,98.04,4
603,Committee For A Constructive Tomorrow,81,3,66.55,1
604,Equal Justice Works,92,4,93.91,4
605,The Sentencing Project,74,2,93.9,4
606,"Samaritan Inns, Inc.",93,4,99.8,4
607,Human Rights Campaign Foundation,93,4,78.84,2
608,Thrive DC,89,3,77.5,2
609,Support Our Aging Religious,81,3,96.74,4
610,International Labor Rights Forum,89,3,82.54,3
611,Youth Service America,81,3,67.22,1
612,The Center for Strategic and International Studies,89,3,77.55,2
613,FreedomWorks Foundation,88,3,74.42,2
614,Herbie Hancock Institute of Jazz,89,3,86.25,3
615,Institute for Women's Policy Research,90,4,91.24,4
616,American Immigration Council,96,4,93.42,4
617,EARTHWORKS,96,4,97.5,4
618,International Campaign for Tibet,97,4,68.01,1
619,Violence Policy Center,100,4,90.0,4
620,D.C. Bar Pro Bono Center,96,4,88.4,3
621,National Minority AIDS Council,100,4,92.51,4
622,D.C. Central Kitchen,100,4,80.6,3
623,Rebuilding Together,100,4,94.62,4
624,Dc Habitat for Humanity Inc,100,4,82.71,3
625,Mary's Center,100,4,85.0,3
626,Center for Individual Rights,93,4,90.0,4
627,Center for Security Policy,93,4,82.5,3
628,Armenian Assembly of America,74,2,82.79,3
629,The American Prospect,85,3,71.71,2
630,American Israel Education Foundation,78,2,79.4,2
631,National LGBTQ Task Force,85,3,71.75,2
632,Safe Kids Worldwide,100,4,80.0,3
633,Center for International Environmental Law (CIEL),100,4,87.5,3
634,National Homelessness Law Center,93,4,76.55,2
635,Food & Friends,97,4,84.02,3
636,International Women's Media Foundation,96,4,91.8,4
637,Environmental Investigation Agency,100,4,87.83,3
638,Green America,93,4,90.67,4
639,USA for UNHCR,100,4,69.54,1
640,Congressional Sportsmen's Foundation,78,2,73.61,2
641,World Wildlife Fund,96,4,72.47,2
642,Society for Women's Health Research,93,4,77.8,2
643,Bright Beginnings,96,4,93.8,4
644,The National Council for Science and the Environment,62,1,56.78,1
645,Solar Electric Light Fund,85,3,77.5,2
646,Tax Foundation,97,4,78.32,2
647,AIDS United,100,4,92.05,4
648,Academy of Hope Adult Public Charter School,89,3,81.3,3
649,Center for Justice and International Law,93,4,93.2,4
650,Project On Government Oversight,96,4,96.41,4
651,Families Against Mandatory Minimums Foundation,89,3,100.0,4
652,Center for Mind-Body Medicine,86,3,88.78,3
653,Faith and Politics Institute,100,4,71.75,2
654,Humane Society International,92,4,79.37,2
655,First Book,100,4,82.5,3
656,National Breast Cancer Coalition Fund,100,4,80.13,3
657,Washington Lawyers' Committee for Civil Rights and Urban Affairs,96,4,88.01,3
658,National Archives Foundation,94,4,71.7,2
659,Family Research Council,81,3,78.98,2
660,Alaska Wilderness League,96,4,76.74,2
661,Inter-American Dialogue,93,4,85.88,3
662,LGBTQ Victory Institute,89,3,79.5,2
663,Women for Women International,96,4,73.01,2
664,Diabetes Research and Wellness Foundation,90,4,62.5,1
665,The Lambi Fund of Haiti,93,4,71.72,2
666,Hillel: The Foundation for Jewish Campus Life,85,3,88.17,3
667,Center for Education Reform,89,3,78.02,2
668,Men's Health Network,81,3,90.0,4
669,United States-Indonesia Society,89,3,60.14,1
670,Jobs with Justice,74,2,91.52,4
671,Judicial Watch,74,2,77.22,2
672,"Rape, Abuse & Incest National Network",85,3,95.0,4
673,The Center for Democracy & Technology,100,4,83.71,3
674,DEA Educational Foundation,82,3,82.5,3
675,American Association of People with Disabilities,100,4,87.77,3
676,Center for Strategic and Budgetary Assessments,89,3,84.75,3
677,Pinchot Institute for Conservation,74,2,70.38,2
678,Urban Alliance,100,4,92.5,4
679,Taxpayers for Common Sense,89,3,96.36,4
680,International Christian Concern,100,4,86.65,3
681,Center for Inspired Teaching,89,3,92.5,4
682,Campaign for Tobacco-Free Kids,93,4,100.0,4
683,KABOOM!,100,4,85.42,3
684,Institute for America's Future,74,2,85.0,3
685,National Network to End Domestic Violence,89,3,95.0,4
686,Power to Decide,96,4,90.0,4
687,Marijuana Policy Project Foundation,78,2,58.1,1
688,Smith Center for Healing and the Arts,93,4,80.41,3
689,Friends of Cancer Research,92,4,83.6,3
690,Americans for the Arts,89,3,89.13,3
691,Opera Lafayette,89,3,85.28,3
692,Every Voice Center,67,1,73.9,2
693,PeerForward,100,4,70.27,2
694,Fonkoze USA,100,4,75.18,2
695,Washington Area Women's Foundation,100,4,86.6,3
696,Animal Outlook,78,2,90.0,4
697,American Center for Law and Justice - District of Columbia,51,0,77.22,2
698,Constitutional Accountability Center,89,3,85.75,3
699,The Middle East Media Research Institute,96,4,87.01,3
700,Cultural Landscape Foundation,81,3,90.32,4
701,New America,100,4,92.21,4
702,American Federation for Children Growth Fund,85,3,87.5,3
703,IMA World Health,100,4,75.0,2
704,Sitar Arts Center,92,4,83.88,3
705,District of Columbia College Access Program,89,3,94.82,4
706,Forest Trends,100,4,84.22,3
707,Capital Area Immigrants Rights Coalition,96,4,94.88,4
708,WomenHeart: The National Coalition for Women with Heart Disease,100,4,78.72,2
709,Environmental Working Group,100,4,99.54,4
710,Sudan Relief Fund,96,4,72.01,2
711,Vital Voices Global Partnership,97,4,90.34,4
712,Center for Food Safety,96,4,80.0,3
713,LIFT,97,4,79.02,2
714,International Association for Human Values,78,2,100.0,4
715,American Friends of Lubavitch,36,0,57.48,1
716,Center for Economic and Policy Research,89,3,96.56,4
717,Amazon Conservation Association,100,4,87.5,3
718,Electronic Privacy Information Center,96,4,100.0,4
719,PeacePlayers International,96,4,100.0,4
720,Afterschool Alliance,89,3,93.04,4
721,ActionAid USA,100,4,84.69,3
722,Migration Policy Institute,93,4,91.49,4
723,Youth Orchestra of the Americas,89,3,79.94,2
724,American Constitution Society for Law and Policy,85,3,91.04,4
725,ABC² (Accelerate Brain Cancer Cure),92,4,63.67,1
726,Public Knowledge,89,3,90.29,4
727,American Cancer Society Cancer Action Network Inc,97,4,74.11,2
728,Center for Global Development,100,4,97.38,4
729,AAUW - American Association of University Women,100,4,73.84,2
730,APhA Foundation,89,3,83.88,3
731,Jewish Women International,93,4,87.5,3
732,Washington Performing Arts Society,89,3,75.68,2
733,For Love of Children,96,4,73.29,2
734,Ford's Theatre Society,100,4,93.94,4
735,The Wilderness Society,97,4,82.03,3
736,National Council of Negro Women,77,2,95.95,4
737,B'nai B'rith International,93,4,53.52,0
738,Defenders of Wildlife,97,4,82.63,3
739,Americans United for Separation of Church and State,97,4,74.69,2
740,Society for Science & the Public,97,4,96.21,4
741,Carnegie Institution for Science,96,4,86.07,3
742,American Forests,97,4,81.22,3
743,American Association for the Advancement of Science,89,3,89.31,3
744,The Brookings Institution,100,4,78.92,2
745,Legal Aid Society of the District of Columbia,100,4,94.28,4
746,American Red Cross,100,4,85.53,3
747,Columbia Lighthouse for the Blind,85,3,70.92,2
748,Alexander Graham Bell Association for the Deaf and Hard of Hearing,93,4,85.4,3
749,Middle East Institute,96,4,98.82,4
750,The Phillips Collection,92,4,84.75,3
751,"Planned Parenthood of Metropolitan Washington, DC",90,4,88.67,3
752,Society of the Cincinnati,85,3,92.95,4
753,Daughters of the American Revolution,86,3,67.34,1
754,Smithsonian Institution,97,4,85.15,3
755,National Trust for Historic Preservation,97,4,76.96,2
756,Population Reference Bureau,92,4,95.0,4
757,American Enterprise Institute for Public Policy Research,89,3,88.13,3
758,Central Union Mission,100,4,80.89,3
759,Humane Rescue Alliance,93,4,89.6,3
760,Resources for the Future,100,4,80.88,3
761,National Parks Conservation Association,97,4,79.9,2
762,The Humane Society of the United States,96,4,65.75,1
763,"Little Sisters of the Poor of Washington, DC",77,2,93.16,4
764,Boys & Girls Clubs of Greater Washington,85,3,79.92,2
765,League of Women Voters Education Fund,97,4,66.51,1
766,National Consumers League,89,3,88.58,3
767,The John F. Kennedy Center for the Performing Arts,85,3,94.66,4
768,Arena Stage,89,3,85.43,3
769,National Gallery of Art,90,4,86.66,3
770,Junior Achievement of Greater Washington,93,4,81.71,3
771,Alliance for Aging Research,93,4,88.81,3
772,American Battlefield Trust,97,4,94.24,4
773,Center for Public Integrity,96,4,78.6,2
774,Women in Government Foundation,70,2,75.55,2
775,National Environmental Education Foundation,100,4,86.25,3
776,The Trinity Forum,96,4,86.75,3
777,Golisano Children's Museum of Naples,89,3,88.63,3
778,Florida Breast Cancer Foundation,100,4,96.43,4
779,Florence Fuller Child Development Foundation Inc.,93,4,93.77,4
780,Alaqua Animal Refuge Inc.,69,1,100.0,4
781,Burger King McLamore Foundation,85,3,97.7,4
782,American Association of Kidney Patients,92,4,79.25,2
783,The Shawn Carter Foundation,89,3,83.22,3
784,Ronald McDonald House Charities of Southwest Florida,96,4,79.25,2
785,Israel Cancer Association USA,92,4,92.5,4
786,Clothes To Kids,100,4,97.5,4
787,Parkinson Research Foundation,78,2,60.0,1
788,Cat Depot,51,0,96.58,4
789,Conservation Foundation of the Gulf Coast,100,4,100.0,4
790,ShelterBox USA,100,4,89.28,3
791,JAFCO,100,4,93.05,4
792,Ocean Research & Conservation Association,88,3,66.37,1
793,COPD Foundation,100,4,86.84,3
794,Wounded Warrior Project,97,4,81.14,3
795,Clinics Can Help Inc.,96,4,100.0,4
796,Zion's Hope,63,1,67.81,1
797,Firehouse Subs Public Safety Foundation,92,4,100.0,4
798,Take Stock in Children Palm Beach County,100,4,90.64,4
799,Hope Helps,93,4,84.09,3
800,EOD Warrior Foundation,100,4,83.0,3
801,Big Brothers Big Sisters of America,100,4,82.78,3
802,The Greater Naples YMCA,70,2,91.61,4
803,Boys & Girls Clubs of Palm Beach County,96,4,95.0,4
804,"Youth Haven, Florida",93,4,99.64,4
805,Air Force Enlisted Village,100,4,81.91,3
806,South Florida Wildlife Center,77,2,85.0,3
807,Sarasota Opera,89,3,84.8,3
808,Teen Missions International,81,3,100.0,4
809,Suncoast Humane Society,100,4,65.8,1
810,Special Olympics Florida,97,4,86.22,3
811,Missionary Flights International,66,1,80.0,3
812,St. Petersburg Free Clinic,100,4,97.5,4
813,International Game Fish Association,100,4,61.05,1
814,Clinic for the Rehabilitation of Wildlife,85,3,93.38,4
815,ECHO,96,4,91.41,4
816,Florida Sheriffs Youth Ranches,96,4,79.1,2
817,"Police Athletic League of Jacksonville, Inc. ",85,3,86.37,3
818,Florida Studio Theatre,85,3,96.01,4
819,Girls Inc. of Sarasota County,96,4,95.14,4
820,Friends of WLRN,93,4,76.07,2
821,Crosswinds Youth Services,97,4,86.22,3
822,Furkids Animal Rescue and Shelters,96,4,90.0,4
823,ACS Products Inc,97,4,74.11,2
824,Lewy Body Dementia Association,96,4,85.11,3
825,Atlanta Police Foundation,88,3,96.85,4
826,CARE,97,4,84.02,3
827,American Cancer Society,97,4,74.11,2
828,American Friends of the Israel Democracy Institute,71,2,92.47,4
829, United Methodist Committee on Relief of Global Ministries,93,4,96.18,4
830,The Southern Education Foundation,89,3,91.54,4
831,Boys & Girls Clubs of America,97,4,88.97,3
832,Foundation for Economic Education,97,4,84.75,3
833,The Drake House,89,3,99.17,4
834,Rally Foundation,100,4,97.5,4
835,Communities of Coastal Georgia Foundation,96,4,93.48,4
836,Calcutta Mercy Ministries,78,2,64.42,1
837,Jack and Jill Late Stage Cancer Foundation,96,4,97.27,4
838,The Carter Center Collaborative Inc.,100,4,95.06,4
839,She is Safe,82,3,82.58,3
840,"LEADership, Education and Development",62,1,67.61,1
841,The Empty Stocking Fund,93,4,81.07,3
842,Special Olympics Georgia,97,4,88.05,3
843,The Mailbox Club,96,4,82.31,3
844,C5 Youth Foundation of Georgia,89,3,78.98,2
845,Georgia Mountain Food Bank,96,4,91.53,4
846,Herobox,81,3,67.51,1
847,Broadway Dreams Foundation Corporation,81,3,77.05,2
848,New American Pathways,90,4,82.5,3
849,Pacific Buddhist Academy,89,3,81.32,3
850,Special Olympics Hawaii,97,4,90.01,4
851,Hawaii Public Radio,100,4,88.12,3
852,National Tropical Botanical Garden,100,4,89.29,3
853,Aloha Council Boy Scouts of America,89,3,84.32,3
854,Hawaiian Humane Society,100,4,96.12,4
855,Aloha United Way,100,4,88.79,3
856,YMCA of Honolulu,96,4,92.44,4
857,Honolulu Museum of Art,92,4,78.52,2
858,Honolulu Theatre for Youth,96,4,84.53,3
859,Bishop Museum,86,3,75.75,2
860,Hawaii Opera Theatre,96,4,71.41,2
861,The Institute for Human Services,93,4,87.04,3
862,East-West Center Foundation,89,3,81.55,3
863,Hawaii Foodbank,100,4,90.07,4
864,Make-A-Wish Foundation of Hawaii,97,4,83.8,3
865,Ronald McDonald House Charities of Hawaii,89,3,82.64,3
866,Maui Arts & Cultural Center,89,3,78.59,2
867,Hawaiian Islands Ministries,70,2,78.42,2
868,Hawaii Theatre Center,96,4,80.73,3
869,Japanese Cultural Center of Hawaii,96,4,66.51,1
870,Hawaii Community Foundation,96,4,90.92,4
871,National Kidney Foundation of Hawaii,93,4,68.21,1
872,Hawaii United Okinawa Association,70,2,0.0,0
873,Pacific Islanders in Communications,85,3,69.35,1
874,Maui Food Bank,100,4,92.34,4
875,PBS Hawaii,100,4,91.21,4
876,MA‘O Organic Farms,89,3,78.7,2
877,Lee Pesky Learning Center,92,4,87.37,3
878,The Luke Commission,78,2,97.5,4
879,The Peregrine Fund,100,4,87.52,3
880,The Sun Valley Center for the Arts,90,4,78.18,2
881,Special Olympics Idaho,85,3,83.62,3
882,The Hunger Coalition,100,4,100.0,4
883,"Boy Scouts of America, Grand Teton Council",70,2,78.02,2
884,Women's and Children's Alliance,92,4,100.0,4
885,Idaho Humane Society,100,4,93.01,4
886,Idaho Youth Ranch,100,4,78.47,2
887,Boy Scouts of America Mountain West Council,82,3,87.52,3
888,United Way of Treasure Valley,100,4,94.17,4
889,Mountain Humane,100,4,89.41,3
890,Idaho Botanical Gardens,89,3,87.76,3
891,Sunvalley Summer Symphony,85,3,77.91,2
892,Friends of Idaho Public Television,92,4,91.88,4
893,Idaho Foodbank,100,4,94.9,4
894,Swiftsure Ranch Theraputic Equestrian Center,66,1,81.0,3
895,Boys & Girls Clubs of Ada County,92,4,96.78,4
896,Higher Ground,100,4,89.23,3
897,Catholic Charities of Idaho,89,3,86.01,3
898,Idaho Conservation League,96,4,84.58,3
899,Wildland Firefighter Foundation,100,4,97.27,4
900,Ronald McDonald House Charities of Idaho,92,4,87.55,3
901,Dermatology Foundation,89,3,76.42,2
902,"American Lung Association, National Headquarters",97,4,95.0,4
903,Muscular Dystrophy Association,97,4,63.78,1
904,Alzheimer's Association,96,4,82.54,3
905,Alpha USA,96,4,86.67,3
906,Illinois Network of Charter Schools,100,4,88.28,3
907,Al-Furqaan Foundation,85,3,92.5,4
908,Pat Tillman Foundation,100,4,88.95,3
909,MetroSquash,89,3,84.08,3
910,Cradle Family Resource Centers,100,4,78.68,2
911,One Acre Fund,94,4,87.5,3
912,Operation Support Our Troops-America,100,4,93.68,4
913,Open Books,100,4,77.54,2
914,World Bicycle Relief,100,4,80.17,3
915,Imerman Angels,58,1,80.89,3
916,"Collaborative for Academic, Social, and Emotional Learning",89,3,88.28,3
917,Epic Academy,85,3,88.3,3
918,Cal's All Star Angel Foundation Inc.,89,3,94.05,4
919,World Sport Chicago,59,1,47.5,0
920,Mission Year,62,1,71.42,2
921,Bright Hope,100,4,78.65,2
922,"BUILD, Inc.",100,4,94.05,4
923,Special Olympics Chicago,89,3,87.72,3
924,Lions Clubs International Foundation,96,4,80.87,3
925,Illinois Valley Public Telecommunications Corporation,89,3,66.34,1
926,National Headache Foundation,89,3,79.33,2
927,Alliance For The Great Lakes,97,4,83.71,3
928,Hooved Animal Humane Society,100,4,77.84,2
929,The ARK Chicago,89,3,91.75,4
930,Chicago Volunteer Legal Services,96,4,77.8,2
931,The Conservation Foundation,100,4,94.4,4
932,Prevent Child Abuse America,100,4,90.0,4
933,American Brain Tumor Association,100,4,86.95,3
934,Save-A-Pet Adoption Center,96,4,87.54,3
935,LINK Unlimited Scholars,89,3,69.22,1
936,Neighborhood Housing Services of Chicago,89,3,70.71,2
937,Tree House Humane Society,100,4,69.7,1
938,Turning Pointe Autism Foundation,93,4,95.0,4
939,Advance Illinois,89,3,85.08,3
940,Foundation for Angelman Syndrome Therapeutics,89,3,100.0,4
941,Franklin News Foundation,75,2,66.98,1
942,Church World Service,97,4,80.0,3
943,Tony Stewart Foundation,64,1,78.7,2
944,SOZO International,78,2,79.4,2
945,The Mind Trust,93,4,100.0,4
946,Mission Pre-Born,81,3,100.0,4
947,Autism Spectrum Disorder Foundation,60,1,0.0,0
948,The Indianapolis Public Library Foundation,96,4,80.81,3
949,"Sports World, Inc.",78,2,54.61,0
950,FAME,96,4,74.24,2
951,Lake Area United Way,93,4,67.74,1
952,Fort Wayne Public Television,100,4,88.03,3
953,Middle Way House,85,3,94.49,4
954,International Disaster Emergency Service,100,4,95.18,4
955,United Way Center of Bartholomew,100,4,97.5,4
956,Crown Point Community Foundation,92,4,81.61,3
957,Northwest Indiana Public Broadcasting,89,3,63.43,1
958,Alternatives Incorporated of Madison County,96,4,90.0,4
959,"Keep Indianapolis Beautiful, Inc.",93,4,88.16,3
960,Trinity Broadcasting of Indiana,63,1,92.5,4
961,Food Finders Food Bank,89,3,97.5,4
962,Science Central,89,3,87.49,3
963,Life Centers,81,3,80.14,3
964,Community Harvest Food Bank of Northeast Indiana,96,4,99.42,4
965,Second Harvest Food Bank of East Central Indiana,93,4,90.0,4
966,Community Foundation of Grant County Indiana,89,3,87.74,3
967,Eiteljorg Museum of American Indians and Western Art,85,3,83.92,3
968,Kids Alive International,100,4,99.32,4
969,Habitat for Humanity of St Joseph County Inc,89,3,95.0,4
970,The Indiana Youth Institute,89,3,92.14,4
971,LeSea Global Feed the Hungry,93,4,90.0,4
972,"Water for Good, Inc.",100,4,78.35,2
973,Solid Rock International,100,4,97.47,4
974,Community Health Free Clinic,89,3,100.0,4
975,The Outreach Program,92,4,89.45,3
976,Camp Courageous of Iowa,89,3,91.74,4
977,United Way of the Quad Cities ,100,4,84.22,3
978,River Bend Foodbank,100,4,97.5,4
979,International Messengers,100,4,88.06,3
980,Greater Des Moines Botanical Garden,89,3,97.47,4
981,Cedar Rapids Museum of Art,74,2,83.97,3
982,United Way of Siouxland,100,4,93.28,4
983,Des Moines Art Center,89,3,91.65,4
984,United Way of Central Iowa,100,4,98.88,4
985,Animal Rescue League of Iowa,96,4,91.81,4
986,YMCA of Greater Des Moines,96,4,87.5,3
987,YMCA of the Iowa Mississippi Valley,100,4,92.86,4
988,Des Moines Community Playhouse,89,3,83.57,3
989,Cedar Valley United Way,93,4,87.91,3
990,The Gospel Mission,89,3,97.51,4
991,Jewish Federation of Greater Des Moines,89,3,99.11,4
992,United Way of East Central Iowa,96,4,88.92,3
993,United Way of Story County,100,4,100.0,4
994,CommUnity,85,3,93.65,4
995,"Mid-Iowa Council, Boy Scouts of America",89,3,74.86,2
996,Great Plains SPCA,96,4,66.53,1
997,KC Healthy Kids,74,2,89.51,3
998,Kansas Big Brothers Big Sisters,89,3,73.15,2
999,"Boy Scouts of America, Quivira Council",85,3,79.67,2
1000,Rolling Hills Zoo,74,2,85.79,3
1001,Unbound,100,4,88.32,3
1002,"Nazarene Compassionate Ministries, Inc.",96,4,82.5,3
1003,The Family Conservancy,96,4,80.0,3
1004,Jewish Family Services of Greater Kansas City,96,4,93.31,4
1005,Jewish Federation of Greater Kansas City,96,4,97.15,4
1006,Planned Parenthood Great Plains,82,3,96.75,4
1007,American Academy of Family Physicians Foundation,93,4,64.48,1
1008,Mercy Without Limits,89,3,95.0,4
1009,Kansas University Alumni Association,89,3,86.13,3
1010,Alumni Association of Kansas State University,89,3,70.95,2
1011,"Catholic Charities, Inc. - Diocese of Wichita ",93,4,84.17,3
1012,Capper Foundation,92,4,90.0,4
1013,"Boy Scouts of America, Coronado Area Council",89,3,89.51,3
1014,United Way of the Plains,96,4,93.38,4
1015,Wichita Children's Home,89,3,100.0,4
1016,Kansas Humane Society,100,4,80.92,3
1017,United Way of Greater Topeka,100,4,85.22,3
1018,Salina Area United Way,96,4,74.47,2
1019,Humane Society of Greater Kansas City,78,2,79.83,2
1020,Kansas 4-H Foundation,93,4,81.26,3
1021,Eisenhower Foundation,81,3,73.11,2
1022,Wichita Symphony Society,100,4,97.94,4
1023,Topeka Rescue Mission,100,4,100.0,4
1024,United Methodist Open Door,89,3,99.28,4
1025,Senior Services Inc. of Wichita,70,2,88.58,3
1026,Music Theatre of Wichita,89,3,83.79,3
1027,United Way of Douglas County,89,3,89.05,3
1028,United Way of Reno County,70,2,91.7,4
1029,The Land Institute,100,4,93.82,4
1030,High Plains Public Radio,78,2,81.12,3
1031,Smoky Hills Public Television,84,3,82.9,3
1032,Special Olympics Kansas,93,4,76.02,2
1033,SAFEHOME,93,4,90.31,4
1034,Ronald McDonald House Charities Wichita,92,4,75.41,2
1035,Sunflower House,100,4,90.33,4
1036,Salina Rescue Mission,97,4,89.47,3
1037,Kansas Food Bank,100,4,93.41,4
1038,Trees for Life,54,0,77.16,2
1039,Exploration Place,89,3,90.72,4
1040,Great Plains Christian Radio,93,4,79.2,2
1041,Boys & Girls Club of South Central Kansas,93,4,94.12,4
1042,Life In Abundance International,85,3,92.08,4
1043,"USA Cares, Inc.",100,4,84.42,3
1044,Gilda's Club Kentuckiana,96,4,82.64,3
1045,The Center for Courageous Kids,93,4,89.65,3
1046,United Way of Kentucky,85,3,76.19,2
1047,Dare to Care Food Bank,100,4,91.35,4
1048,Kentucky 4-H Foundation,88,3,96.11,4
1049,Blessings in A Backpack,92,4,94.17,4
1050,Mountain Association for Community Economic Development,96,4,93.41,4
1051,God's Pantry Food Bank,100,4,97.5,4
1052,Market House Theatre of Paducah Kentucky Inc.,81,3,91.25,4
1053,The Community Foundation of Louisville,96,4,92.39,4
1054,Ronald McDonald House Charities of Kentuckiana,88,3,77.5,2
1055,Fairhaven Rescue Mission,79,2,92.69,4
1056,Kentucky Coalition,93,4,91.99,4
1057,Answers in Genesis,85,3,89.75,3
1058,G.O. Ministries,81,3,90.1,4
1059,The Council of State Governments,82,3,81.41,3
1060,Children's Lifeline,66,1,77.56,2
1061,Nativity Academy at Saint Boniface,100,4,86.02,3
1062,DAV (Disabled American Veterans) Charitable Service Trust,100,4,100.0,4
1063,United Way of the Ohio Valley,88,3,82.22,3
1064,American Printing House For The Blind,93,4,76.34,2
1065,Bernheim Arboretum and Research Forest,86,3,92.88,4
1066,United Way of the Bluegrass,96,4,73.3,2
1067,Metro United Way,96,4,89.12,3
1068,The Filson Historical Society,89,3,87.67,3
1069,Lexington Humane Society,100,4,95.19,4
1070,Jewish Community of Louisville,89,3,94.87,4
1071,Louisville Urban League,92,4,78.7,2
1072,The Speed Art Museum,71,2,96.28,4
1073,YMCA of Central Kentucky,96,4,88.77,3
1074,The Center for Women and Families,89,3,84.75,3
1075,Home of the Innocents,89,3,91.99,4
1076,"Boy Scouts of America, Lincoln Heritage Council",77,2,83.99,3
1077,"Neighborhood House, Louisville",88,3,79.87,2
1078,The Cabbage Patch Settlement House,100,4,88.7,3
1079,The Kentucky United Methodist Homes for Children & Youth,89,3,85.17,3
1080,Potter Children's Home & Family Ministries,81,3,88.04,3
1081,Kentucky Humane Society,96,4,92.95,4
1082,StageOne Family Theatre,74,2,64.16,1
1083,"Junior Achievement of Kentuckiana, Inc.",96,4,85.99,3
1084,Fund for the Arts,100,4,85.54,3
1085,Family & Children's Place,100,4,79.0,2
1086,United Way of Southern Kentucky,100,4,86.6,3
1087,Louisville Central Community Center,75,2,90.99,4
1088,Actors Theatre of Louisville,96,4,89.02,3
1089,Christian Appalachian Project,97,4,87.49,3
1090,Wayside Christian Mission,78,2,97.51,4
1091,Living Arts & Science Center,85,3,100.0,4
1092,Foundation for the Tri-State Community,85,3,85.14,3
1093,Center for Great Neighborhoods of Covington,74,2,87.5,3
1094,Appalshop,77,2,90.37,4
1095,National Performance Network,85,3,93.92,4
1096,Center for Planning Excellence,89,3,89.22,3
1097,Manship Theatre,82,3,63.54,1
1098,Shreveport-Bossier Rescue Mission,82,3,71.72,2
1099,New Orleans Ballet Association,62,1,82.77,3
1100,SBP,100,4,100.0,4
1101,Youth Empowerment Project,89,3,89.62,3
1102,The Idea Village,97,4,80.64,3
1103,Audubon Nature Institute,100,4,82.5,3
1104,Tipitina's Foundation,58,1,61.58,1
1105,Covenant House New Orleans,100,4,95.7,4
1106,WWOZ,96,4,84.93,3
1107,Louisiana Resource Center for Educators,82,3,67.67,1
1108,New Orleans Opera Association,85,3,92.5,4
1109,Catholic Charities Archdiocese of New Orleans,96,4,88.26,3
1110,The Greater New Orleans Foundation,96,4,95.71,4
1111,Jewish Children's Regional Service,100,4,94.7,4
1112,"Boy Scouts of America, Istrouma Area Council",77,2,76.04,2
1113,"Boy Scouts of America, Evangeline Area Council",85,3,82.5,3
1114,"Boy Scouts of America, Louisiana Purchase Council",81,3,74.04,2
1115,"Capital Area United Way, Louisiana",100,4,80.44,3
1116,United Way of Southwest Louisiana,100,4,87.45,3
1117,Goodwill Industries of North Louisiana,85,3,80.0,3
1118,United Way of Central Louisiana,96,4,94.65,4
1119,Louisiana SPCA,96,4,89.29,3
1120,United Way of Southeast Louisiana,85,3,75.55,2
1121,United Way of Northeast Louisiana,96,4,88.45,3
1122,United Way of Northwest Louisiana,100,4,67.52,1
1123,United Way of Acadiana,93,4,90.39,4
1124,Special Olympics Louisiana,85,3,66.44,1
1125,The Arts Council of Greater Baton Rouge,82,3,61.38,1
1126,WRKF 89.3,89,3,71.49,2
1127,"Contemporary Arts Center, New Orleans",89,3,83.4,3
1128,Mount Desert Island Biological Laboratory,93,4,88.52,3
1129,United Way of Eastern Maine,96,4,88.38,3
1130,The Jackson Laboratory,96,4,97.18,4
1131,Maine Historical Society,81,3,59.04,1
1132,Boys & Girls Clubs of Southern Maine,89,3,96.95,4
1133,United Way of Androscoggin County,89,3,80.18,3
1134,Pine Tree Society,100,4,95.0,4
1135,Animal Refuge League,100,4,81.22,3
1136,Bangor Humane Society,81,3,95.05,4
1137,Maine Seacoast Mission,96,4,90.83,4
1138,Boothbay Region YMCA,96,4,92.96,4
1139,United Way of Greater Portland,100,4,86.09,3
1140,Maine Audubon,100,4,79.7,2
1141,The Maine Children's Home for Little Wanderers,89,3,93.57,4
1142,Natural Resources Council of Maine,97,4,87.77,3
1143,Maine Maritime Museum,93,4,99.96,4
1144,"United Way of York County, Maine",100,4,81.79,3
1145,Emmaus H.O.M.E.,81,3,83.57,3
1146,Children's Museum & Theatre of Maine,89,3,66.36,1
1147,Special Olympics Maine,89,3,83.21,3
1148,Farnsworth Art Museum,96,4,80.68,3
1149,Portland Museum of Art,93,4,80.71,3
1150,Maine Community Foundation,96,4,91.3,4
1151,Preble Street,100,4,85.35,3
1152,Tedford Housing,89,3,78.34,2
1153,Friends of Acadia,96,4,78.38,2
1154,Coastal Maine Botanical Gardens,100,4,74.0,2
1155,Make-A-Wish Foundation of Maine,97,4,77.3,2
1156,Camp Beech Cliff,81,3,91.55,4
